"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"OR4F5" 0 NA NA NA NA NA
"OR4F29" 0 NA NA NA NA NA
"OR4F16" 0 NA NA NA NA NA
"SAMD11" 0.141119427897006 -0.363819283085138 2.99812736030608 -0.12134884191444 0.903414735570022 NA
"NOC2L" 0.308664640825079 0.801527442515809 2.92500746747124 0.274025776491009 0.784064812784188 NA
"KLHL17" 0.0698112638715604 -0.703664599955889 3.00251687188139 -0.234358250088689 0.814706867743621 NA
"PLEKHN1" 0.0296274727000041 -0.473794443946748 2.6585404261402 -0.178216001264508 0.8585533436906 NA
"PERM1" 0 NA NA NA NA NA
"HES4" 0.487787117431274 0.415183460484294 2.81919214867538 0.147270366327947 0.882918621657595 NA
"ISG15" 0.424966845541342 0.518906750432553 2.87290203322681 0.180621108701616 0.856664986046145 NA
"AGRN" 1.9158871190781 1.8320913396537 0.830174661830196 2.20687455771618 0.0273228243581863 0.105279612903964
"RNF223" 0.0823777304207255 -0.05963686589439 2.99969158132686 -0.0198809991885935 0.984138302601201 NA
"C1orf159" 0.126010116076706 -0.227430088329973 2.9988715746297 -0.0758385554933463 0.939547541587811 NA
"TTLL10" 0 NA NA NA NA NA
"TNFRSF18" 0.0756847106303856 -0.73996001705983 3.00149663572367 -0.246530350310196 0.805271713129668 NA
"TNFRSF4" 0 NA NA NA NA NA
"SDF4" 1.33061408904197 0.31162860267489 0.996227884227129 0.312808552750609 0.754426117099381 NA
"B3GALT6" 0.417986246530508 0.572024133084435 2.98455627129099 0.191661366410426 0.848007470021036 NA
"C1QTNF12" 0 NA NA NA NA NA
"UBE2J2" 0.586010389795176 0.462899797095785 2.25511984634749 0.205266162614604 0.837364179466264 NA
"SCNN1D" 0.0836630401475449 -0.045517987943562 3.00049142665618 -0.0151701776379639 0.987896413721517 NA
"ACAP3" 0.262606551458437 -0.0377645069940585 2.98992716182721 -0.0126305775860372 0.989922525096555 NA
"PUSL1" 0.0211986579408489 -0.490752374103998 2.29617758109019 -0.213725792876611 0.83076089624966 NA
"INTS11" 0.598105891941616 0.46414694257747 1.8777332234179 0.247184710154203 0.804765277751333 NA
"CPTP" 0.150120056044332 -0.265365849682676 2.99916267306505 -0.0884799787840386 0.929495196537191 NA
"TAS1R3" 0 NA NA NA NA NA
"DVL1" 0.876830535244839 0.509100287351518 1.46316862875583 0.347943686972307 0.727882475257877 NA
"MXRA8" 1.91153871337628 0.157773023820179 0.813571951249268 0.193926331380909 0.846233565607223 0.91745033094149
"AURKAIP1" 0.6246628232741 -0.102264052946272 2.14986453123809 -0.0475676729674586 0.962060796087033 NA
"CCNL2" 1.51322765755899 0.841870739844607 0.891773739672389 0.944040738577797 0.345148830714893 NA
"MRPL20" 0.587308609982042 0.080282823195251 2.05290760068701 0.039106885847363 0.968805171058149 NA
"ANKRD65" 0 NA NA NA NA NA
"TMEM88B" 0.0400535294444048 -0.939749402831953 3.002612487888 -0.312977251184671 0.754297945450897 NA
"VWA1" 0.213315334909945 -0.699483361764958 2.99563119983054 -0.233501160558258 0.815372268464944 NA
"ATAD3C" 0 NA NA NA NA NA
"ATAD3B" 0.128092258151733 -0.192485871319033 2.99649477299742 -0.0642370122095983 0.948781506757377 NA
"ATAD3A" 0.0872185319162866 -0.672191778066528 3.0007833040273 -0.224005437901628 0.822753071916917 NA
"TMEM240" 0 NA NA NA NA NA
"SSU72" 1.35615780302262 -0.135376733934851 1.02074158309128 -0.132625863565651 0.894489276941208 NA
"FNDC10" 0.132978353731357 0.158285545203374 2.99853859245263 0.052787563115506 0.957901170881155 NA
"MIB2" 0.205884852067096 -0.125599693071167 2.99382139950258 -0.0419529678998338 0.966536191258568 NA
"MMP23B" 0 NA NA NA NA NA
"CDK11B" 0.158565306353669 -0.720250074413134 3.00181304868991 -0.239938351499763 0.810378048923915 NA
"SLC35E2B" 0.896317500662127 0.736375133302622 1.57982808308175 0.466110927630926 0.641136101789022 NA
"CDK11A" 0.0775392301982968 -0.245152370609921 3.00252672988842 -0.0816486888091857 0.934926082444927 NA
"NADK" 1.36399083255023 0.191295190177507 0.981664880665043 0.194868120419987 0.845496191943179 NA
"GNB1" 8.44872780924261 0.27700289070332 0.295983434163558 0.935872953451341 0.349338604156053 0.561912398623181
"CALML6" 0 NA NA NA NA NA
"TMEM52" 0.0479117574982927 -0.475176324378794 3.00299747696153 -0.158234007195898 0.874272407436073 NA
"CFAP74" 0 NA NA NA NA NA
"GABRD" 0.0423973158816977 -0.387821967865246 3.0005667410808 -0.129249572274321 0.897160172131621 NA
"PRKCZ" 0.133213273946453 0.17508615008705 2.999497233136 0.0583718325034078 0.953452450910549 NA
"FAAP20" 0.0955171415758862 -0.0292947260660783 3.00135341074761 -0.00976050536440534 0.992212367115644 NA
"SKI" 2.71802654743451 0.124702062542145 0.575837330565325 0.216557794923993 0.828552979924061 0.907604907610749
"MORN1" 0.14632504955485 -0.240153461857463 2.99897617409718 -0.0800784827607905 0.936174836049233 NA
"RER1" 0.804451554462186 1.00504354801689 1.64199034189986 0.612088586863434 0.540479148278774 NA
"PEX10" 0.27907459379097 -1.03663397426526 2.99485593272511 -0.346138177445482 0.72923887326476 NA
"PLCH2" 0 NA NA NA NA NA
"PANK4" 0 NA NA NA NA NA
"HES5" 0 NA NA NA NA NA
"TNFRSF14" 0 NA NA NA NA NA
"PRXL2B" 0 NA NA NA NA NA
"MMEL1" 0 NA NA NA NA NA
"TTC34" 0 NA NA NA NA NA
"ACTRT2" 0 NA NA NA NA NA
"PRDM16" 0.0893761792308624 -0.659555981117783 3.00129582495982 -0.219757071473157 0.826060354320444 NA
"ARHGEF16" 0.0765004647626115 -0.16313481809547 2.99997262561607 -0.0543787688935893 0.956633393791008 NA
"MEGF6" 0.605785324250565 0.318183621948427 2.62077192831653 0.121408360075352 0.903367595482402 NA
"TPRG1L" 0.427127290334042 0.070528115112622 2.60637658310979 0.0270598330147947 0.978412011630275 NA
"WRAP73" 0.194562871985234 -0.941715800622476 2.99675732999476 -0.314244931078261 0.753335019724011 NA
"TP73" 0.0400535294444048 -0.939749402831953 3.002612487888 -0.312977251184671 0.754297945450897 NA
"CCDC27" 0 NA NA NA NA NA
"SMIM1" 0 NA NA NA NA NA
"LRRC47" 0.819395202262143 1.15778116739504 1.43275494206339 0.808080386536766 0.419044307650199 NA
"CEP104" 1.52504889597698 -0.0874153872175845 0.838825068280355 -0.104211701012693 0.917001348468169 NA
"DFFB" 0.157006788883514 -0.792317507878965 2.99555107613621 -0.264498079899519 0.791396144164968 NA
"C1orf174" 0.283499887026848 -0.142300793798337 2.99545509605545 -0.0475055673462522 0.962110293246604 NA
